Country,Regional indicator,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia(2.09) + residual
Switzerland,Western Europe,7.586999893,1.396505475,1.349505067,0.941432297,0.665573299,0.296775281,0.419776797,2.517383099
Iceland,Western Europe,7.56099987,1.30232358,1.402231097,0.947844326,0.62877208,0.436296731,0.141451374,2.702013016
Denmark,Western Europe,7.52699995,1.3254776,1.360580802,0.874641359,0.649383724,0.341386229,0.483573467,2.492041588
Norway,Western Europe,7.521999836,1.458996654,1.330954552,0.885209024,0.669731796,0.346989155,0.365034252,2.465311527
Canada,North America and ANZ,7.427000046,1.326291561,1.322608113,0.905630887,0.632967591,0.458109021,0.329573005,2.451755524
Finland,Western Europe,7.406000137,1.290248513,1.318263054,0.889110863,0.641693413,0.233507648,0.413717896,2.619551182
Netherlands,Western Europe,7.377999783,1.32944417,1.280173063,0.892838299,0.615761518,0.476103932,0.318139434,2.465703487
Sweden,Western Europe,7.363999844,1.331708074,1.289070487,0.910865664,0.659797072,0.362620056,0.438435882,2.371190548
New Zealand,North America and ANZ,7.285999775,1.250184655,1.319674492,0.908370614,0.639377654,0.475010067,0.42921564,2.264252186
Australia,North America and ANZ,7.28399992,1.333584189,1.309228539,0.931555867,0.651243746,0.435615838,0.356365114,2.266460419
Israel,Middle East and North Africa,7.277999878,1.228570104,1.223930478,0.913868845,0.413188964,0.331718504,0.077852353,3.088542461
Costa Rica,Latin America and Caribbean,7.225999832,0.955781579,1.237881064,0.860273659,0.633759201,0.254965812,0.105825692,3.177275658
Austria,Western Europe,7.199999809,1.337232232,1.297041297,0.890421629,0.624334812,0.330884933,0.186761677,2.533203125
Mexico,Latin America and Caribbean,7.186999798,1.020535111,0.914507747,0.814443886,0.481810629,0.140740216,0.213122711,3.602143288
United States,North America and ANZ,7.118999958,1.394510031,1.247112513,0.861785233,0.546035171,0.401051521,0.15889585,2.510109425
Brazil,Latin America and Caribbean,6.982999802,0.981237054,1.232873082,0.697023213,0.490489632,0.145738527,0.175213084,3.260014057
Luxembourg,Western Europe,6.946000099,1.563907385,1.219625235,0.91894275,0.615833998,0.280336589,0.377976954,1.969613075
Ireland,Western Europe,6.940000057,1.335956335,1.36947608,0.895332873,0.617771447,0.459009469,0.287028909,1.97569561
Belgium,Western Europe,6.936999798,1.307816029,1.285663605,0.896666646,0.584503233,0.222497731,0.225395665,2.414841175
United Arab Emirates,Middle East and North Africa,6.901000023,1.427265525,1.125751972,0.809249043,0.641568065,0.264276534,0.385833055,2.247431755
United Kingdom,Western Europe,6.867000103,1.266374469,1.285476804,0.909429491,0.596253097,0.519120455,0.320667744,1.969937801
Oman,Middle East and North Africa,6.853000164,1.36011374,1.081819415,0.762760997,0.632737756,0.215419382,0.325243384,2.474887371
Venezuela,Latin America and Caribbean,6.809999943,1.044236779,1.255958915,0.720522463,0.429082125,0.058412541,0.110693961,3.191308737
Singapore,Southeast Asia,6.797999859,1.521858931,1.020002007,1.025247455,0.54251641,0.311048716,0.492099643,1.885012627
Panama,Latin America and Caribbean,6.785999775,1.063528538,1.198503494,0.796606779,0.542103767,0.244336665,0.092699401,2.848477125
Germany,Western Europe,6.75,1.327922821,1.299371243,0.891858637,0.614774346,0.282139778,0.218428358,2.115690708
Chile,Latin America and Caribbean,6.670000076,1.107153177,1.124465704,0.858567655,0.441320777,0.33363387,0.128691047,2.67584753
Qatar,Middle East and North Africa,6.611000061,1.690415144,1.078602314,0.797332227,0.640395522,0.325731337,0.52207756,1.556744576
France,Western Europe,6.574999809,1.277783275,1.260375142,0.94578594,0.550110221,0.123316333,0.206458911,2.211257458
Argentina,Latin America and Caribbean,6.573999882,1.053505182,1.248233318,0.787230134,0.449736476,0.11450839,0.084836572,2.835997105
Czech Republic,Central and Eastern Europe,6.505000114,1.1789819,1.206434488,0.844831705,0.463643372,0.106857106,0.026519712,2.677818537
Uruguay,Latin America and Caribbean,6.485000134,1.061663747,1.208900332,0.811603665,0.60362345,0.232399791,0.245580822,2.321418285
Colombia,Latin America and Caribbean,6.477000237,0.918612778,1.240184307,0.690768898,0.534660339,0.184008613,0.051198591,2.857372046
Thailand,Southeast Asia,6.454999924,0.966903031,1.265044808,0.738497436,0.556643009,0.576304317,0.031869546,2.319449425
Saudi Arabia,Middle East and North Africa,6.410999775,1.395410299,1.083925128,0.720251143,0.310480088,0.137056306,0.325243384,2.438715458
Spain,Western Europe,6.328999996,1.230114579,1.31378758,0.955624521,0.459506005,0.182272777,0.063983023,2.123666286
Malta,Western Europe,6.302000046,1.207400441,1.302027583,0.887212753,0.603650272,0.517516792,0.135855347,1.648795605
Taiwan,East Asia,6.297999859,1.290984154,1.076172709,0.87529695,0.397402108,0.253757298,0.081291258,2.323225021
Kuwait,Middle East and North Africa,6.295000076,1.554216862,1.165935636,0.72492379,0.554992616,0.162277505,0.256091207,1.876338959
Suriname,Latin America and Caribbean,6.269000053,0.995341539,0.971996844,0.60819602,0.596572876,0.169908494,0.136332422,2.790938377
Trinidad and Tobago,Latin America and Caribbean,6.168000221,1.211834431,1.183543205,0.614832401,0.558843493,0.318435669,0.011400152,2.268817663
El Salvador,Latin America and Caribbean,6.130000114,0.764544249,1.025070667,0.677365124,0.403497666,0.106924668,0.117762588,3.034996748
Guatemala,Latin America and Caribbean,6.123000145,0.745533049,1.043561459,0.644250512,0.577329695,0.274887681,0.094720468,2.742553711
Uzbekistan,Commonwealth of Independent States,6.002999783,0.63243705,1.340432405,0.597719133,0.658213198,0.228372797,0.308257878,2.237409592
Slovakia,Central and Eastern Europe,5.994999886,1.168908715,1.269987106,0.78902185,0.31751135,0.168928236,0.034308821,2.246385336
Japan,East Asia,5.986999989,1.270735621,1.257115841,0.991111696,0.496147335,0.107053436,0.180602506,1.684350967
South Korea,East Asia,5.984000206,1.24460578,0.957741916,0.9653759,0.332084715,0.185565487,0.0785693,2.21977663
Ecuador,Latin America and Caribbean,5.974999905,0.864022255,0.99903053,0.7907511,0.485742599,0.115408435,0.180896908,2.539424658
Bahrain,Middle East and North Africa,5.960000038,1.323762059,1.216243982,0.747157454,0.454917789,0.173621356,0.305997074,1.737968922
Italy,Western Europe,5.947999954,1.25113678,1.197774768,0.954460979,0.262357533,0.228231847,0.02900641,2.025178432
Bolivia,Latin America and Caribbean,5.889999866,0.681333244,0.978413522,0.53919673,0.574137926,0.205364034,0.087997429,2.823338509
Moldova,Commonwealth of Independent States,5.888999939,0.594475329,1.015275598,0.618257344,0.328178942,0.209514722,0.016148983,3.107121944
Paraguay,Latin America and Caribbean,5.877999783,0.75984627,1.304771543,0.660979927,0.538987339,0.342397332,0.082415827,2.188957214
Kazakhstan,Commonwealth of Independent States,5.855000019,1.122541189,1.122409105,0.643682361,0.516487658,0.118271448,0.084537387,2.247287273
Slovenia,Central and Eastern Europe,5.84800005,1.184977889,1.27384758,0.873371184,0.608553171,0.253281355,0.037868638,1.61582613
Lithuania,Central and Eastern Europe,5.833000183,1.147234201,1.257446408,0.731276929,0.213422775,0.02640711,0.010314343,2.446493149
Nicaragua,Latin America and Caribbean,5.828000069,0.593245685,1.141837716,0.743144393,0.554745615,0.278151244,0.193170771,2.324071884
Peru,Latin America and Caribbean,5.823999882,0.900189161,0.974586368,0.730165541,0.414958417,0.149819463,0.059893392,2.594502926
Belarus,Commonwealth of Independent States,5.813000202,1.031923056,1.232885122,0.736076772,0.379377186,0.110463828,0.190902457,2.130903006
Poland,Central and Eastern Europe,5.790999889,1.125549793,1.279479265,0.7790308,0.531215608,0.16759184,0.042117108,1.86564827
Malaysia,Southeast Asia,5.769999981,1.124861717,1.070231795,0.723937571,0.530239403,0.330752313,0.105006106,1.885408401
Croatia,Central and Eastern Europe,5.758999825,1.082538843,0.796242177,0.78805232,0.258832991,0.054439653,0.024298072,2.754143238
Libya,Middle East and North Africa,5.754000187,1.131445289,1.118619323,0.703803718,0.416682094,0.182951331,0.110229723,2.090662479
Russia,Commonwealth of Independent States,5.71600008,1.137644172,1.236168742,0.669261456,0.366788387,0.00198859,0.030049957,2.273941517
Jamaica,Latin America and Caribbean,5.709000111,0.810376465,1.151022434,0.687405825,0.504416943,0.212302193,0.022986867,2.320375919
North Cyprus,Western Europe,5.695000172,1.208058357,1.070084691,0.923564553,0.490268856,0.261692375,0.142803371,1.598880768
Cyprus,Western Europe,5.68900013,1.208125949,0.893179834,0.923563898,0.406720489,0.306380063,0.061459407,1.889306784
Algeria,Middle East and North Africa,5.605000019,0.939290345,1.07771945,0.617659211,0.28578639,0.078223124,0.173831969,2.432085276
Kosovo,Central and Eastern Europe,5.589000225,0.801479161,0.811976373,0.631324887,0.247487843,0.283095509,0.047408748,2.765791416
Turkmenistan,Commonwealth of Independent States,5.547999859,0.958474755,1.226679325,0.538858354,0.476095021,0.16978839,0.308437437,1.86983633
Mauritius,Sub-Saharan Africa,5.477000237,1.007608056,0.985209644,0.709498286,0.560658872,0.377444923,0.075207837,1.761445522
Hong Kong,East Asia,5.473999977,1.386039853,1.058178902,1.013284087,0.596078873,0.394777536,0.37123841,0.654292583
Estonia,Central and Eastern Europe,5.428999901,1.151744604,1.227912426,0.77361238,0.448875725,0.086802408,0.15184319,1.587823391
Indonesia,Southeast Asia,5.399000168,0.828271568,1.087075591,0.637933254,0.466109961,0.515352368,,1.863987923
Vietnam,Southeast Asia,5.360000134,0.632159889,0.912256658,0.746759236,0.594440401,0.16859895,0.104410298,2.201725721
Turkey,Middle East and North Africa,5.331999779,1.060984373,0.946318448,0.731723309,0.228151277,0.122533143,0.157455519,2.085283756
Kyrgyzstan,Commonwealth of Independent States,5.285999775,0.474278659,1.151154518,0.650883853,0.434773892,0.300302237,0.042315722,2.23270154
Nigeria,Sub-Saharan Africa,5.268000126,0.654351711,0.904317796,0.160065219,0.343339592,0.272332489,0.040304787,2.893194675
Bhutan,South Asia,5.252999783,0.770421445,1.103949785,0.574066401,0.532064557,0.479982406,0.15444842,1.637944221
Azerbaijan,Commonwealth of Independent States,5.211999893,1.02388835,0.937932074,0.640452564,0.370296299,0.077992857,0.160654008,2.000728369
Pakistan,South Asia,5.193999767,0.595425308,0.414112478,0.514659345,0.121015951,0.336709261,0.104643382,3.107092142
Jordan,Middle East and North Africa,5.191999912,0.901977181,1.053921461,0.696394384,0.406611413,0.110526644,0.142932028,1.879955769
Montenegro,Central and Eastern Europe,5.191999912,0.974380016,0.905571997,0.72521162,0.182596922,0.161396459,0.142955571,2.100166321
China,East Asia,5.139999866,0.890115082,0.946745396,0.816581011,0.516971171,0.081854478,0.027811555,1.86039567
Zambia,Sub-Saharan Africa,5.129000187,0.470377028,0.916116893,0.299243718,0.488269687,0.195910946,0.124676481,2.634297609
Romania,Central and Eastern Europe,5.124000072,1.043446422,0.885876,0.76890105,0.350677639,0.137477651,0.006486494,1.931293011
Serbia,Central and Eastern Europe,5.123000145,0.920528889,1.009644985,0.748359501,0.201068521,0.192308962,0.026170393,2.024996996
Portugal,Western Europe,5.102000237,1.159910321,1.139353514,0.875189304,0.514688611,0.137193203,0.010777602,1.264621019
Latvia,Central and Eastern Europe,5.09800005,1.113120317,1.095621109,0.724371076,0.296712548,0.182261601,0.063321523,1.622154713
Philippines,Southeast Asia,5.072999954,0.705324531,1.035159707,0.581138611,0.625445843,0.249910891,0.122786455,1.753595352
Somaliland region,Sub-Saharan Africa,5.05700016,0.188465938,0.951519907,0.438726187,0.465816885,0.503183722,0.39928329,2.110318422
Morocco,Middle East and North Africa,5.013000011,0.734790862,0.6409477,0.609539032,0.416914999,0.071717143,0.085456975,2.453725338
Macedonia,Central and Eastern Europe,5.006999969,0.918506384,1.002323627,0.735445023,0.334573418,0.223587856,0.053271525,1.739330292
Mozambique,Sub-Saharan Africa,4.971000195,0.083082244,1.026261091,0.091310002,0.340366632,0.22269091,0.156033382,3.051367521
Albania,Central and Eastern Europe,4.959000111,0.878674865,0.804339111,0.813253522,0.357325524,0.142724946,0.064126752,1.898938656
Bosnia and Herzegovina,Central and Eastern Europe,4.948999882,0.832231998,0.919155002,0.79080683,0.092449896,0.248084307,0.002265672,2.063668013
Lesotho,Sub-Saharan Africa,4.897999763,0.375451088,1.041031718,0.076117478,0.317672729,0.163882539,0.125038192,2.798321009
Dominican Republic,Latin America and Caribbean,4.885000229,0.895370483,1.172020555,0.668250024,0.576721132,0.216837183,0.142344996,1.213052034
Laos,Southeast Asia,4.875999928,0.590658903,0.738026381,0.549089015,0.595907927,0.421915621,0.242494509,1.737992525
Mongolia,East Asia,4.874000072,0.828185737,1.300596118,0.602684855,0.43626073,0.332301378,0.026656779,1.347594738
Swaziland,Sub-Saharan Africa,4.867000103,0.712063074,1.072835565,0.075655513,0.306583285,0.182591125,0.030599397,2.486763239
Greece,Western Europe,4.856999874,1.154060721,0.929333091,0.882125378,0.076986767,,0.013966628,1.80101037
Lebanon,Middle East and North Africa,4.839000225,1.025640845,0.8000108,0.839474499,0.339158505,0.21854195,0.045822427,1.570594788
Hungary,Central and Eastern Europe,4.800000191,1.1209445,1.202145576,0.759048104,0.321123451,0.128000975,0.027577423,1.240735769
Honduras,Latin America and Caribbean,4.788000107,0.595318913,0.95348382,0.69510144,0.401483625,0.230274037,0.068247423,1.844075203
Tajikistan,Commonwealth of Independent States,4.785999775,0.390471339,0.855627,0.573787391,0.472160459,0.229739264,0.150722235,2.113991737
Tunisia,Middle East and North Africa,4.738999844,0.88113445,0.604287028,0.737926543,0.262681395,0.06431248,0.063577503,2.124655485
Palestinian Territories,Middle East and North Africa,4.715000153,0.598673701,0.925576329,0.66015476,0.244985551,0.112507887,0.129046917,2.043837547
Bangladesh,South Asia,4.693999767,0.397527933,0.431060433,0.601635933,0.408203363,0.21221754,0.125694424,2.517665386
Iran,Middle East and North Africa,4.68599987,1.008795619,0.544470012,0.698050439,0.300327092,0.380855858,0.058626331,1.694404364
Ukraine,Commonwealth of Independent States,4.681000233,0.799068451,1.202783346,0.673902035,0.251228005,0.152747855,0.029612312,1.571398735
Iraq,Middle East and North Africa,4.677000046,0.985494554,0.818892777,0.602370501,,0.179220855,0.137876898,1.953347683
South Africa,Sub-Saharan Africa,4.642000198,0.92049253,1.184683323,0.276875377,0.332065731,0.119730778,0.088842995,1.719561338
Ghana,Sub-Saharan Africa,4.632999897,0.545577586,0.679539323,0.401320606,0.423421174,0.23086971,0.043550503,2.309186935
Zimbabwe,Sub-Saharan Africa,4.610000134,0.270996839,1.032756805,0.334746748,0.258613229,0.189871266,0.080793202,2.441906929
Liberia,Sub-Saharan Africa,4.571000099,0.071201064,0.789675534,0.342009902,0.285307646,0.243620232,0.062319335,2.777285576
India,South Asia,4.565000057,0.644991517,0.381736189,0.515292525,0.397863209,0.264752984,0.084917106,2.275130272
Sudan,Sub-Saharan Africa,4.550000191,0.521073341,1.01403892,0.368780583,0.100813977,0.190615997,0.146604657,2.208571911
Haiti,Latin America and Caribbean,4.518000126,0.266731858,0.743016005,0.388472646,0.244250894,0.461869895,0.171754405,2.241728544
Congo (Kinshasa),Sub-Saharan Africa,4.517000198,,1.001195192,0.098059438,0.226053923,0.248336166,0.076245241,2.867123127
Nepal,South Asia,4.513999939,0.359968245,0.864494503,0.568741322,0.382824212,0.322955459,0.059067216,1.956372499
Ethiopia,Sub-Saharan Africa,4.512000084,0.190727055,0.604057372,0.440552205,0.434498996,0.243245095,0.150475189,2.448756933
Sierra Leone,Sub-Saharan Africa,4.506999969,0.330239266,0.955708325,,0.408400595,0.214882419,0.087857723,2.510089874
Mauritania,Sub-Saharan Africa,4.43599987,0.454066306,0.869077206,0.358738869,0.242323428,0.218996257,0.174611479,2.117734194
Kenya,Sub-Saharan Africa,4.419000149,0.364708841,0.998762786,0.414349496,0.422153473,0.375424474,0.058388241,1.785548925
Djibouti,Sub-Saharan Africa,4.368999958,0.440250933,0.59206593,0.362909466,0.460744619,0.180925995,0.281047523,2.051249027
Armenia,Commonwealth of Independent States,4.349999905,0.768211961,0.777113259,0.72989738,0.198473677,0.078553222,0.039004657,1.758725643
Botswana,Sub-Saharan Africa,4.331999779,0.993545473,1.104635477,0.047760095,0.494949549,0.104605667,0.124743,1.461810589
Myanmar,Southeast Asia,4.30700016,0.271075368,0.709050477,0.482462317,0.440170705,0.795884907,0.190335393,1.418045759
Georgia,Commonwealth of Independent States,4.296999931,0.741898894,0.385619074,0.729263961,0.405774027,0.055466976,0.383307368,1.595407963
Malawi,Sub-Saharan Africa,4.291999817,0.016037127,0.411338568,0.225619152,0.430537462,0.331277519,0.069769599,2.807907104
Sri Lanka,South Asia,4.270999908,0.835236907,1.019052029,0.708063185,0.537261784,0.408277005,0.091785274,0.671078682
Cameroon,Sub-Saharan Africa,4.251999855,0.422499567,0.887671173,0.234023601,0.493090123,0.206180543,0.05785707,1.950708389
Bulgaria,Central and Eastern Europe,4.217999935,1.012155771,1.106139421,0.766490281,0.305869937,0.119210646,0.008720639,0.899907351
Egypt,Middle East and North Africa,4.193999767,0.881795764,0.746999979,0.617118597,0.172880188,0.11290697,0.06324476,1.599271536
